arm,h8_nll,regime,seed,status
R,0.4,synthetic,29,SYNTHETIC
CM,0.425,synthetic,29,SYNTHETIC
Z,0.45,synthetic,29,SYNTHETIC
T,0.475,synthetic,29,SYNTHETIC
R,0.403,synthetic,43,SYNTHETIC
CM,0.428,synthetic,43,SYNTHETIC
Z,0.453,synthetic,43,SYNTHETIC
T,0.478,synthetic,43,SYNTHETIC
R,0.406,synthetic,71,SYNTHETIC
CM,0.431,synthetic,71,SYNTHETIC
Z,0.456,synthetic,71,SYNTHETIC
T,0.481,synthetic,71,SYNTHETIC
R,0.409,synthetic,89,SYNTHETIC
CM,0.434,synthetic,89,SYNTHETIC
Z,0.459,synthetic,89,SYNTHETIC
T,0.484,synthetic,89,SYNTHETIC
R,0.412,synthetic,107,SYNTHETIC
CM,0.437,synthetic,107,SYNTHETIC
Z,0.462,synthetic,107,SYNTHETIC
T,0.487,synthetic,107,SYNTHETIC
